TripID,ScooterID,StartTime,EndTime,StartLatitude,StartLongitude,EndLatitude,EndLongitude,TripDistance
464d30f4-59c4-4946-896a-757e61ef19ac,52141050-912b-42fb-84e9-60b910d83a36,9/30/18 11:22,9/30/18 12:07,38.24,-85.72,38.24,-85.72,5.97
b5523064-c8d0-4a30-b7b3-10f1a1e5ac86,d0ff5259-f2c3-45c3-89bb-33bdf41ceeb0,9/30/18 11:23,9/30/18 11:30,38.25,-85.70,38.26,-85.71,0.87
1acf2c42-e267-4d08-8988-9b2a8fcc3eea,0558dae3-7185-4d6e-8cf7-1993aa08ee23,9/30/18 11:24,9/30/18 11:29,38.25,-85.70,38.26,-85.71,0.75
9bd4e7ff-106a-4e49-8986-c8f50d981554,afc5777d-6bcc-4f3c-a837-87d41fb5f0e5,9/30/18 11:24,9/30/18 11:27,38.25,-85.75,38.25,-85.75,0.06
ec38db68-d089-44d3-92a8-becac11add94,4f2b3f56-1a5b-422b-a859-5e88f57374be,9/30/18 11:26,9/30/18 11:34,38.24,-85.73,38.23,-85.74,1.06
e3f4eaa0-8b81-41e3-8e0e-cf56ada36be4,92c4560f-f062-4986-bf26-3cbaac823f42,9/30/18 11:26,9/30/18 11:31,38.26,-85.75,38.26,-85.75,0.5
d0cfa5b9-051d-4b49-bf8a-a05924c09614,c984298f-dba6-4023-bad7-12403ad3b0b8,9/30/18 11:26,9/30/18 11:30,38.23,-85.71,38.23,-85.70,0.31
17ea835c-996f-4ffd-a8f6-46b5fefe4b22,01176712-4e11-40df-9e9d-4904611c6d40,9/30/18 11:28,9/30/18 12:02,38.24,-85.72,38.23,-85.71,4.76
46cc6bb5-aaf9-4f01-a705-26443cdd9775,a9cda845-66a4-4146-bb5d-64da6c71162b,9/30/18 11:28,9/30/18 11:59,38.26,-85.76,38.26,-85.76,3.11
982a86c7-a33a-4347-a133-63331ae2d34c,69898951-b04b-41f8-8a3c-e2a12fbaeace,9/30/18 11:28,9/30/18 11:59,38.26,-85.76,38.26,-85.76,3.04
bcb3ff8f-c3dc-429f-a431-a12db21dc636,52af9c0c-80be-4b47-b099-c3a97232ffb6,9/30/18 11:29,9/30/18 11:32,38.22,-85.69,38.22,-85.69,0.25
5b82ddf5-8523-4ac3-94d2-28368df81a1b,89ae9567-5e27-47a7-a522-f4225e1e3176,9/30/18 11:29,9/30/18 11:46,38.24,-85.72,38.23,-85.71,1.43
b9715fa3-6264-4743-9b61-71798c766019,7ebaece5-550b-4d5f-97e6-c7be3a0970ce,9/30/18 11:30,9/30/18 11:45,38.24,-85.72,38.23,-85.71,0.93
b7c2df23-136e-42de-8e62-a5cd5fa9062b,d1ad171a-a66e-4a21-9836-275bdcf624ad,9/30/18 11:31,9/30/18 12:06,38.24,-85.72,38.24,-85.72,2.73
507b3405-ecc4-451a-9b2a-06baf10753d2,4049d26b-326f-4b26-b1a6-587c3806562b,9/30/18 11:31,9/30/18 13:13,38.26,-85.75,38.26,-85.76,1.99
ab48d94f-2c07-4d55-b402-047a4d958dd8,09fbde5f-da44-4e29-9a00-825f193c5332,9/30/18 11:32,9/30/18 12:06,38.24,-85.72,38.24,-85.72,2.55
636c30a2-d36e-41df-9455-2d88f1977e1f,7f4609cc-9ca6-45f8-b3b5-ef8be2aa78bc,9/30/18 11:33,9/30/18 11:39,38.26,-85.75,38.25,-85.76,0.62
f2de8b08-2da1-4750-a0bc-d98f25fee816,e2fdeb55-cf45-48aa-beb4-0b7b4a2567fb,9/30/18 11:33,9/30/18 11:38,38.25,-85.71,38.25,-85.71,0.22
0b3bb056-8514-4a87-9815-8ee1e48a4970,bf27515b-8358-4941-b0af-c111b3042bf3,9/30/18 11:33,9/30/18 11:58,38.22,-85.69,38.22,-85.69,2.94
281e94c4-f32f-422c-bec7-f1444294e534,62ee3f2d-4961-4fec-abbf-7af4f9c51bf2,9/30/18 11:34,9/30/18 11:40,38.25,-85.74,38.25,-85.74,0.25
759fd33e-b0da-4ee3-9252-a091f091f90c,4ca67ab7-b3dc-428e-8964-711517dcb63f,9/30/18 11:34,9/30/18 11:38,38.25,-85.74,38.26,-85.73,0.48
0562439d-6950-4f6e-b8c6-9bda5c02c444,0a2f200d-827e-4350-bed2-e6b405ef17a8,9/30/18 11:35,9/30/18 11:59,38.26,-85.76,38.26,-85.76,2.61
01da877e-e0fd-4c52-9462-541bdda4bf41,92c4560f-f062-4986-bf26-3cbaac823f42,9/30/18 11:35,9/30/18 11:41,38.26,-85.75,38.26,-85.75,0.31
556cd6ef-058e-4c8e-a815-25838cfd340d,1b384001-70ab-471f-b972-d244a57ab628,9/30/18 11:35,9/30/18 12:52,38.25,-85.74,38.25,-85.74,7.33
f05817b9-3380-428f-b007-040d1a60a5d2,fbd991e2-6788-4b83-b228-05593192dc12,9/30/18 11:41,9/30/18 12:52,38.25,-85.74,38.25,-85.74,7.39
57219da2-f02b-44ca-b544-197b5c22c6be,2e5cb95d-d637-4c4a-954c-664aed865cf2,9/30/18 11:43,9/30/18 11:55,38.23,-85.70,38.24,-85.72,1.93
b0d9df48-8fd1-4d72-acc8-391170aeac53,7b55437a-4dea-4b4c-bb78-ee6afff8ef92,9/30/18 11:45,9/30/18 12:52,38.25,-85.74,38.25,-85.74,6.9
566c85d0-9b44-4e52-b223-480a22881a9e,73e57468-f6c3-49f0-9418-939ea3ab1ea2,9/30/18 11:45,9/30/18 11:54,38.25,-85.74,38.25,-85.74,1.12
e3a17008-2943-4c57-9250-707722b207ae,bf9d2e5f-1dd2-4dd2-a9a4-040f84415e9c,9/30/18 11:45,9/30/18 11:53,38.25,-85.74,38.25,-85.74,0.87
61ede181-eb09-49b5-98a7-12e88ee06caf,2c8461af-e2d3-4a92-b481-abf0ff8edb38,9/30/18 11:49,9/30/18 11:51,38.25,-85.76,38.25,-85.76,0
89ec66f7-e449-4369-be84-71a67d70ef6e,7f4609cc-9ca6-45f8-b3b5-ef8be2aa78bc,9/30/18 11:49,9/30/18 11:52,38.25,-85.76,38.25,-85.76,0.2
1f898a3f-9953-4c09-84f6-159d64650485,8a99ece0-c7ef-42ad-ac24-d909fd5d2d84,9/30/18 11:50,9/30/18 11:53,38.22,-85.69,38.23,-85.70,0.17
2e932cc4-42dc-4fdd-9129-ecf7aa759606,577d58b5-dc3a-43e8-a7e1-242df66c2100,9/30/18 11:51,9/30/18 12:33,38.24,-85.72,38.24,-85.72,4.97
a9fe8586-3e69-46a8-8d1f-489cfb962df7,80b20c8f-e071-4291-9230-cc64ac7925cf,9/30/18 11:52,9/30/18 12:00,38.25,-85.76,38.26,-85.76,0.87
